2400,State,CNG PSI,Owner Type Code,CNG Dispenser Num,CNG Total Compression Capacity,CNG Storage Capacity,CNG Fill Type Code,CNG Vehicle Class,,,,,Log CNG Storage Capacity,Log CNG Total Compression Capacity
109,CA,3300,P,1,1300,107600,Q,3,,,,,16,10
110,CA,3600,T,2,650,87647,Q,2,,,,,16,9
111,CA,3600,T,1,650,87647,Q,1,,,,,16,9
112,CA,3600,LG,0,480,,Q,2,,,,,,8
113,CA,3300,P,1,350,,Q,3,,,,,,8
114,CA,3600,T,1,650,63937,Q,2,,,,,15,9
115,CA,3600,P,2,170,,Q,3,,,,,,7
116,AR,3600,T,0,250,57855,Q,2,,,,,15,7
117,AZ,3600,LG,0,480,,B,3,,,,,,8
118,AZ,3600,T,0,200,,B,3,,,,,,7
119,AZ,3600,T,0,200,,Q,3,,,,,,7
120,AZ,3000,LG,0,2500,,Q,3,,,,,,11
121,NV,3300,LG,1,300,,Q,3,,,,,,8
122,VA,3600,T,1,185,,Q,3,,,,,,7
123,VA,3600,T,2,850,593136,Q,3,,,,,19,9
124,2,2400,LG,2,1200,34000,Q,3,,,,,15,10
125,WA,3600,T,0,28,,Q,3,,,,,,4
126,WA,3600,T,0,28,,Q,3,,,,,,4
127,WA,3600,T,0,28,,Q,3,,,,,,4
128,TN,3600,LG,2,185,,Q,3,,,,,,7
129,CA,3300,LG,0,480,,Q,3,,,,,,8
130,CA,3300,P,5,1200,,Q,2,,,,,,10
131,NY,3000,LG,0,8250,,Q,3,,,,,,13
132,2,3600,LG,3,3600,45000,Q,3,,,,,15,11
133,OK,3600,T,1,100,33000,Q,2,,,,,15,6
134,AZ,3300,LG,4,480,,Q,3,,,,,,8
135,GA,3600,LG,0,1200,,Q,3,,,,,,10
136,CA,3300,T,1,300,,Q,3,,,,,,8
137,CA,3300,T,1,160,,Q,3,,,,,,7
138,CA,3600,SG,2,750,,Q,3,,,,,,9
139,CA,3600,P,1,1300,66000,Q,2,,,,,16,10
140,CA,3600,T,1,150,18781,Q,1,,,,,14,7
141,CA,3300,P,1,400,,Q,2,,,,,,8
142,CA,3600,P,0,1300,,Q,3,,,,,,10
143,CA,3600,T,2,500,87647,Q,3,,,,,16,8
144,CA,3600,SG,0,50,,B,2,,,,,,5
145,CA,3600,LG,2,925,98000,Q,3,,,,,16,9
146,CA,3600,LG,0,25,,Q,2,,,,,,4
147,CA,3300,P,2,150,,Q,2,,,,,,7
148,CA,3300,LG,0,50,,B,3,,,,,,5
